Date,NewConfirmed,NewRecovered,NewHospitalized,NewDeaths,Confirmed,Recovered,Hospitalized,Deaths
01/01/2020,0,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0,0,0
01/05/2020,0,0,0,0,0,0,0,0
01/06/2020,0,0,0,0,0,0,0,0
01/07/2020,0,0,0,0,0,0,0,0
01/08/2020,0,0,0,0,0,0,0,0
01/09/2020,0,0,0,0,0,0,0,0
01/10/2020,0,0,0,0,0,0,0,0
01/11/2020,0,0,0,0,0,0,0,0
01/12/2020,1,0,1,0,1,0,1,0
01/13/2020,0,0,0,0,1,0,1,0
01/14/2020,0,0,0,0,1,0,1,0
01/15/2020,0,0,0,0,1,0,1,0
01/16/2020,0,0,0,0,1,0,1,0
01/17/2020,1,0,1,0,2,0,2,0
01/18/2020,0,1,-1,0,2,1,1,0
01/19/2020,0,0,0,0,2,1,1,0
01/20/2020,0,0,0,0,2,1,1,0
01/21/2020,0,1,-1,0,2,2,0,0
01/22/2020,2,0,2,0,4,2,2,0
01/23/2020,0,0,0,0,4,2,2,0
01/24/2020,1,1,0,0,5,3,2,0
01/25/2020,1,0,1,0,6,3,3,0
01/26/2020,2,3,-1,0,8,6,2,0
01/27/2020,0,0,0,0,8,6,2,0
01/28/2020,6,0,6,0,14,6,8,0
01/29/2020,0,0,0,0,14,6,8,0
01/30/2020,0,1,-1,0,14,7,7,0
01/31/2020,5,1,4,0,19,8,11,0
02/01/2020,0,0,0,0,19,8,11,0
02/02/2020,0,1,-1,0,19,9,10,0
02/03/2020,0,0,0,0,19,9,10,0
02/04/2020,6,1,5,0,25,10,15,0
02/05/2020,0,0,0,0,25,10,15,0
02/06/2020,0,0,0,0,25,10,15,0
02/07/2020,0,0,0,0,25,10,15,0
02/08/2020,7,0,7,0,32,10,22,0
02/09/2020,0,1,-1,0,32,11,21,0
02/10/2020,0,0,0,0,32,11,21,0
02/11/2020,1,0,1,0,33,11,22,0
02/12/2020,0,0,0,0,33,11,22,0
02/13/2020,0,0,0,0,33,11,22,0
02/14/2020,0,0,0,0,33,11,22,0
02/15/2020,1,2,-1,0,34,13,21,0
02/16/2020,0,2,-2,0,34,15,19,0
02/17/2020,1,0,1,0,35,15,20,0
02/18/2020,0,0,0,0,35,15,20,0
02/19/2020,0,0,0,0,35,15,20,0
02/20/2020,0,2,-2,0,35,17,18,0
02/21/2020,0,2,-2,0,35,19,16,0
02/22/2020,0,1,-1,0,35,20,15,0
02/23/2020,0,1,-1,0,35,21,14,0
02/24/2020,0,0,0,0,35,21,14,0
02/25/2020,2,1,1,0,37,22,15,0
02/26/2020,3,2,1,0,40,24,16,0
02/27/2020,0,0,0,0,40,24,16,0
02/28/2020,1,4,-3,0,41,28,13,0
02/29/2020,1,0,1,0,42,28,14,0
03/01/2020,0,2,-3,1,42,30,11,1
03/02/2020,1,1,0,0,43,31,11,1
03/03/2020,0,0,0,0,43,31,11,1
03/04/2020,0,0,0,0,43,31,11,1
03/05/2020,4,0,4,0,47,31,15,1
03/06/2020,1,0,1,0,48,31,16,1
03/07/2020,2,0,2,0,50,31,18,1
03/08/2020,0,2,-2,0,50,33,16,1
03/09/2020,0,0,0,0,50,33,16,1
03/10/2020,3,0,3,0,53,33,19,1
03/11/2020,6,1,5,0,59,34,24,1
03/12/2020,11,1,10,0,70,35,34,1
03/13/2020,5,0,5,0,75,35,39,1
03/14/2020,7,0,7,0,82,35,46,1
03/15/2020,32,2,30,0,114,37,76,1
03/16/2020,33,1,32,0,147,38,108,1
03/17/2020,30,3,27,0,177,41,135,1
03/18/2020,35,1,34,0,212,42,169,1
03/19/2020,60,0,60,0,272,42,229,1
03/20/2020,50,1,49,0,322,43,278,1
03/21/2020,89,1,88,0,411,44,366,1
03/22/2020,188,1,187,0,599,45,553,1
03/23/2020,122,7,115,0,721,52,668,1
03/24/2020,106,5,98,3,827,57,766,4
03/25/2020,107,13,94,0,934,70,860,4
03/26/2020,111,18,93,0,1045,88,953,4
03/27/2020,91,9,81,1,1136,97,1034,5
03/28/2020,109,3,105,1,1245,100,1139,6
03/29/2020,143,11,131,1,1388,111,1270,7
03/30/2020,136,16,118,2,1524,127,1388,9
03/31/2020,127,215,-89,1,1651,342,1299,10
04/01/2020,120,74,44,2,1771,416,1343,12
04/02/2020,104,89,12,3,1875,505,1355,15
04/03/2020,103,76,23,4,1978,581,1378,19
04/04/2020,89,31,57,1,2067,612,1435,20
04/05/2020,102,62,37,3,2169,674,1472,23
04/06/2020,51,119,-71,3,2220,793,1401,26
04/07/2020,38,31,6,1,2258,824,1407,27
04/08/2020,111,64,44,3,2369,888,1451,30
04/09/2020,54,52,0,2,2423,940,1451,32
04/10/2020,50,73,-24,1,2473,1013,1427,33
04/11/2020,45,122,-79,2,2518,1135,1348,35
04/12/2020,33,83,-53,3,2551,1218,1295,38
04/13/2020,28,70,-44,2,2579,1288,1251,40
04/14/2020,34,117,-84,1,2613,1405,1167,41
04/15/2020,30,92,-64,2,2643,1497,1103,43
04/16/2020,29,96,-70,3,2672,1593,1033,46
04/17/2020,28,96,-69,1,2700,1689,964,47
04/18/2020,33,98,-65,0,2733,1787,899,47
04/19/2020,32,141,-109,0,2765,1928,790,47
